source_id,institution,subject,course_name,course_code,semester,regulation,unit,topic,source_url,source_type,verification_status,notes
JNTUH-R25-CS208ES-PY-001,Jawaharlal Nehru Technological University Hyderabad,Python Programming,Python Programming Lab,CS208ES,I Year II Semester,R-25 Regulations,UNKNOWN,Python interpreter,https://www.jntuh.ac.in/uploads/academics/R25B.Tech.CSEIIIYearSyllabusV2.pdf,syllabus,VERIFIED,"Official supplied source evidence. Course is a lab (L-T-P 0-0-2; 1 credit), not a theory course. Applicable from AY 2025-2026 Batch."
JNTUH-R25-CS208ES-PY-002,Jawaharlal Nehru Technological University Hyderabad,Python Programming,Python Programming Lab,CS208ES,I Year II Semester,R-25 Regulations,UNKNOWN,control structures,https://www.jntuh.ac.in/uploads/academics/R25B.Tech.CSEIIIYearSyllabusV2.pdf,syllabus,VERIFIED,"Exact topic wording supplied from the official source evidence."
JNTUH-R25-CS208ES-PY-003,Jawaharlal Nehru Technological University Hyderabad,Python Programming,Python Programming Lab,CS208ES,I Year II Semester,R-25 Regulations,UNKNOWN,lists,https://www.jntuh.ac.in/uploads/academics/R25B.Tech.CSEIIIYearSyllabusV2.pdf,syllabus,VERIFIED,"Exact topic wording supplied from the official source evidence."
JNTUH-R25-CS208ES-PY-004,Jawaharlal Nehru Technological University Hyderabad,Python Programming,Python Programming Lab,CS208ES,I Year II Semester,R-25 Regulations,UNKNOWN,dictionaries,https://www.jntuh.ac.in/uploads/academics/R25B.Tech.CSEIIIYearSyllabusV2.pdf,syllabus,VERIFIED,"Exact topic wording supplied from the official source evidence."
JNTUH-R25-CS208ES-PY-005,Jawaharlal Nehru Technological University Hyderabad,Python Programming,Python Programming Lab,CS208ES,I Year II Semester,R-25 Regulations,UNKNOWN,strings,https://www.jntuh.ac.in/uploads/academics/R25B.Tech.CSEIIIYearSyllabusV2.pdf,syllabus,VERIFIED,"Exact topic wording supplied from the official source evidence."
JNTUH-R25-CS208ES-PY-006,Jawaharlal Nehru Technological University Hyderabad,Python Programming,Python Programming Lab,CS208ES,I Year II Semester,R-25 Regulations,UNKNOWN,files,https://www.jntuh.ac.in/uploads/academics/R25B.Tech.CSEIIIYearSyllabusV2.pdf,syllabus,VERIFIED,"Exact topic wording supplied from the official source evidence."
JNTUH-R25-CS208ES-PY-007,Jawaharlal Nehru Technological University Hyderabad,Python Programming,Python Programming Lab,CS208ES,I Year II Semester,R-25 Regulations,UNKNOWN,tuples,https://www.jntuh.ac.in/uploads/academics/R25B.Tech.CSEIIIYearSyllabusV2.pdf,syllabus,VERIFIED,"Exact topic wording supplied from the official source evidence."
JNTUH-R25-CS208ES-PY-008,Jawaharlal Nehru Technological University Hyderabad,Python Programming,Python Programming Lab,CS208ES,I Year II Semester,R-25 Regulations,UNKNOWN,functions/modular approach,https://www.jntuh.ac.in/uploads/academics/R25B.Tech.CSEIIIYearSyllabusV2.pdf,syllabus,VERIFIED,"Exact topic wording supplied from the official source evidence."
JNTUH-R25-CS208ES-PY-009,Jawaharlal Nehru Technological University Hyderabad,Python Programming,Python Programming Lab,CS208ES,I Year II Semester,R-25 Regulations,UNKNOWN,file I/O,https://www.jntuh.ac.in/uploads/academics/R25B.Tech.CSEIIIYearSyllabusV2.pdf,syllabus,VERIFIED,"Exact topic wording supplied from the official source evidence."
JNTUH-R25-CS208ES-PY-010,Jawaharlal Nehru Technological University Hyderabad,Python Programming,Python Programming Lab,CS208ES,I Year II Semester,R-25 Regulations,UNKNOWN,Python standard library,https://www.jntuh.ac.in/uploads/academics/R25B.Tech.CSEIIIYearSyllabusV2.pdf,syllabus,VERIFIED,"Exact topic wording supplied from the official source evidence."
