institution,state,institution_type,official_domain,official_cse_url,verification_status,notes
Jawaharlal Nehru Technological University Hyderabad,Telangana,State technological university,https://jntuh.ac.in/,https://jntuhceh.ac.in/viewdept/5,VERIFIED,"Official JNTUH navigation links the University College of Engineering CSE department page, which identifies the Department of Computer Science and Engineering and exposes a department Syllabus link. The plain B.Tech CSE curriculum and R25 subject metadata remain NEEDS_MANUAL_REVIEW; this status does not assert a verified curriculum."
Indian Institute of Technology Hyderabad,Telangana,Institute of national importance,https://iith.ac.in/,UNKNOWN,NEEDS_MANUAL_REVIEW,"Official homepage and Office of Academic Affairs page opened. CSE curriculum URL and course-level evidence not confirmed."
International Institute of Information Technology Hyderabad,Telangana,Private research institute,https://www.iiit.ac.in/,UNKNOWN,NEEDS_MANUAL_REVIEW,"Supplied official CSE curriculum evidence supports CS3.301 - Operating Systems and Networks recorded in syllabus_sources.csv. A directly usable CSE curriculum URL and detailed course topics were not supplied in this pass."
University of Hyderabad,Telangana,Central university,https://uohyd.ac.in/,UNKNOWN,NEEDS_MANUAL_REVIEW,"Official homepage opened and identifies the university in Telangana. Computing curriculum URL and undergraduate course evidence not confirmed."
Osmania University,Telangana,State university,https://www.osmania.ac.in/,https://www.uceou.edu/,NEEDS_MANUAL_REVIEW,"Supplied official UG syllabus evidence confirms B.E. (CSE) III & IV Semester syllabus effective Academic Year 2025-26. Subject, course code, units, topics, and detailed source document remain unverified."
Indian Institute of Technology Bombay,Maharashtra,Institute of national importance,https://www.iitb.ac.in/,UNKNOWN,NEEDS_MANUAL_REVIEW,"Official homepage opened and links the official academic website. CSE curriculum URL and course-level evidence not confirmed."
Indian Institute of Technology Delhi,Delhi,Institute of national importance,https://home.iitd.ac.in/,UNKNOWN,NEEDS_MANUAL_REVIEW,"Official homepage opened and links Departments and Educational Programmes. CSE curriculum URL and course-level evidence not confirmed."
Indian Institute of Technology Madras,Tamil Nadu,Institute of national importance,https://www.iitm.ac.in/,https://www.iitm.ac.in/academics/departments/department-of-computer-science-engineering,VERIFIED,"Official homepage directly links the Computer Science and Engineering department. Course-level curriculum evidence remains to be reviewed separately."
Indian Institute of Technology Kanpur,Uttar Pradesh,Institute of national importance,https://www.iitk.ac.in/,UNKNOWN,NEEDS_MANUAL_REVIEW,"Official homepage opened and identifies IIT Kanpur. Exact CSE curriculum URL and course-level evidence not confirmed."
Indian Institute of Technology Kharagpur,West Bengal,Institute of national importance,https://www.iitkgp.ac.in/,UNKNOWN,NEEDS_MANUAL_REVIEW,"Official homepage opened and exposes official study-programme navigation. CSE curriculum URL and course-level evidence not confirmed."
Indian Institute of Science,Karnataka,Institute of national importance,https://iisc.ac.in/,UNKNOWN,NEEDS_MANUAL_REVIEW,"Official homepage opened and exposes UG and course-programme navigation. A B.Tech CSE curriculum source was not confirmed."
NIT Warangal,Telangana,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_MANUAL_REVIEW,"Supplied official institution/course evidence supports CSE course-level claims recorded in syllabus_sources.csv. Official domain, CSE URL, and detailed syllabus URL were not supplied in this pass."
